time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-15 00:00:00+00:00,1.0,1.0,10,3
2022-12-16 00:00:00+00:00,,,18,9
2022-12-17 00:00:00+00:00,,,35,4
2022-12-18 00:00:00+00:00,,,7,3
2022-12-19 00:00:00+00:00,,,45,6
2022-12-20 00:00:00+00:00,,,2,2
2022-12-21 00:00:00+00:00,,,3,2
2022-12-22 00:00:00+00:00,1.0,1.0,4,4
2022-12-23 00:00:00+00:00,2.0,1.0,3,2
2022-12-24 00:00:00+00:00,1.0,1.0,4,3
2022-12-25 00:00:00+00:00,,,6,3
2022-12-26 00:00:00+00:00,1.0,1.0,3,3
2022-12-28 00:00:00+00:00,1.0,1.0,18,3
