time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-10 00:00:00+00:00,0,0,2,2
2022-09-11 00:00:00+00:00,0,0,4,2
2022-09-12 00:00:00+00:00,0,0,1,1
2022-09-13 00:00:00+00:00,0,0,31,1
2022-09-14 00:00:00+00:00,0,0,1,1
2022-09-15 00:00:00+00:00,1,1,43,4
2022-09-16 00:00:00+00:00,0,0,7,4
2022-09-17 00:00:00+00:00,0,0,10,3
2022-09-18 00:00:00+00:00,1,1,1,1
2022-09-19 00:00:00+00:00,0,0,12,7
2022-09-20 00:00:00+00:00,1,1,11,2
2022-09-21 00:00:00+00:00,0,0,3,3
2022-09-22 00:00:00+00:00,3,2,6,1
2022-09-23 00:00:00+00:00,0,0,65,3
2022-09-25 00:00:00+00:00,0,0,1,1
2022-09-26 00:00:00+00:00,0,0,22,4
2022-09-27 00:00:00+00:00,1,1,13,4
2022-09-28 00:00:00+00:00,0,0,28,9
2022-09-29 00:00:00+00:00,1,1,31,2
2022-09-30 00:00:00+00:00,0,0,4,4
